order_id,order_date,year,month,month_name,quarter,customer_id,customer_segment,age_group,gender,country,region,city,sales_channel,traffic_source,category,sub_category,product_name,payment_method,shipping_method,campaign,quantity,unit_price_egp,discount_pct,revenue_egp,cost_egp,profit_egp,profit_margin,delivery_days,customer_rating,returned,website_visits_before_purchase
ORD-000001,2025-10-16,2025,10,October,Q4,CUST-02941,Student,18-24,Male,Egypt,Greater Cairo,Giza,Online Store,Social Media,Electronics,Power Bank,Power Bank Model C,Credit Card,Express,No Campaign,1,344.09,0.0352,331.99,267.56,64.43,0.1941,3,4.9,No,6
ORD-000002,2025-09-10,2025,9,September,Q3,CUST-01402,Young Professional,25-34,Female,Egypt,Alexandria Coast,Borg El Arab,Online Store,Social Media,Electronics,Smart Watch,Smart Watch Model Max,Cash,Express,Back to School,1,9965.76,0.1205,8764.93,6550.45,2214.48,0.2527,1,4.0,No,2
ORD-000003,2024-09-07,2024,9,September,Q3,CUST-03272,Premium,35-44,Male,Egypt,Delta,Tanta,Physical Store,Search Engine,Fashion,Handbag,Handbag Model C,Credit Card,Store Pickup,Back to School,4,1012.73,0.0973,3656.69,1950.83,1705.86,0.4665,2,4.8,No,0
ORD-000004,2024-08-12,2024,8,August,Q3,CUST-02158,Young Professional,25-34,Male,Egypt,Greater Cairo,Cairo,Physical Store,Direct,Electronics,Smart Watch,Smart Watch Model Max,Credit Card,Store Pickup,No Campaign,4,6644.6,0.0616,24940.68,19540.87,5399.81,0.2165,0,3.5,Yes,0
ORD-000005,2024-07-01,2024,7,July,Q3,CUST-04418,Premium,45-54,Male,Egypt,Greater Cairo,Giza,Online Store,Direct,Electronics,Power Bank,Power Bank Model Lite,Bank Transfer,Store Pickup,No Campaign,2,1225.89,0,2451.78,1835.73,616.05,0.2513,1,5,No,1
ORD-000006,2025-12-07,2025,12,December,Q4,CUST-03873,Family,25-34,Male,Egypt,Delta,Damietta,Marketplace,Social Media,Fashion,Handbag,Handbag Model B,Debit Card,Same Day,New Year Deals,2,2071.63,0.0239,4044.27,2092.65,1951.62,0.4826,0,5,No,3
ORD-000007,2025-04-29,2025,4,April,Q2,CUST-01937,Family,35-44,Male,Egypt,Delta,Zagazig,Mobile App,Paid Ads,Electronics,Smartphone,Smartphone Model B,Cash,Standard,No Campaign,1,48999.45,0.0589,46110.98,37967.81,8143.17,0.1766,7,4.5,No,8
ORD-000008,2025-02-20,2025,2,February,Q1,CUST-04161,Student,18-24,Female,Egypt,Upper Egypt,Assiut,Online Store,Search Engine,Home & Kitchen,Air Fryer,Air Fryer Model A,Cash,Store Pickup,No Campaign,1,11778.34,0.0145,11607.26,7764.36,3842.9,0.3311,0,4.3,No,2
ORD-000009,2024-07-09,2024,7,July,Q3,CUST-02860,Family,35-44,Male,Egypt,Alexandria Coast,Marsa Matruh,Online Store,Paid Ads,Electronics,Laptop,Laptop Model A,Bank Transfer,Express,Summer Offers,1,49067.21,0.0091,48622.16,39186.69,9435.47,0.1941,1,4.3,No,4
ORD-000010,2024-09-07,2024,9,September,Q3,CUST-00030,Family,45-54,Male,Egypt,Delta,Mansoura,Physical Store,Referral,Electronics,Tablet,Tablet Model C,Wallet,Store Pickup,Back to School,1,10028.93,0.1267,8757.82,6418.12,2339.7,0.2672,1,4.1,No,0
ORD-000011,2024-05-13,2024,5,May,Q2,CUST-05085,Family,25-34,Male,Egypt,Greater Cairo,6th of October,Mobile App,Direct,Beauty,Hair Dryer,Hair Dryer Model Lite,Credit Card,Standard,No Campaign,2,3821.42,0.043,7314.1,3799.34,3514.76,0.4805,4,4.6,No,1
ORD-000012,2024-06-07,2024,6,June,Q2,CUST-04174,Student,25-34,Female,Egypt,Canal & Sinai,Suez,Marketplace,Social Media,Fashion,Jeans,Jeans Model Pro,Cash,Standard,No Campaign,1,1337.66,0.0275,1300.85,709.0,591.85,0.455,3,3.8,No,6
ORD-000013,2025-11-26,2025,11,November,Q4,CUST-02705,Corporate,25-34,Female,Egypt,Greater Cairo,New Cairo,Online Store,Paid Ads,Home & Kitchen,Blender,Blender Model Max,Debit Card,Standard,No Campaign,1,5485.78,0.0242,5353.29,3947.93,1405.36,0.2625,7,4.4,No,6
ORD-000014,2024-11-17,2024,11,November,Q4,CUST-00695,Young Professional,25-34,Female,Egypt,Alexandria Coast,Marsa Matruh,Mobile App,Search Engine,Electronics,Headphones,Headphones Model C,Debit Card,Express,Black Friday,1,1820.04,0.1626,1524.12,1129.2,394.92,0.2591,2,4.1,No,6
ORD-000015,2025-06-11,2025,6,June,Q2,CUST-01793,Young Professional,18-24,Male,Egypt,Upper Egypt,Sohag,Physical Store,Paid Ads,Home & Kitchen,Blender,Blender Model B,Debit Card,Store Pickup,No Campaign,4,1535.57,0.0157,6045.62,3946.98,2098.64,0.3471,2,5,No,0
ORD-000016,2025-12-13,2025,12,December,Q4,CUST-02752,Premium,55+,Female,Egypt,Canal & Sinai,Ismailia,Mobile App,Social Media,Electronics,Laptop,Laptop Model C,Credit Card,Standard,No Campaign,1,77254.19,0,77254.19,60302.56,16951.63,0.2194,5,4.1,No,3
ORD-000017,2025-07-07,2025,7,July,Q3,CUST-00238,Young Professional,25-34,Female,Egypt,Delta,Tanta,Online Store,Search Engine,Electronics,Smart Watch,Smart Watch Model Pro,Debit Card,Express,Summer Offers,1,3965.5,0.0234,3872.53,3111.43,761.1,0.1965,3,4.8,No,3
ORD-000018,2024-12-10,2024,12,December,Q4,CUST-01837,Family,35-44,Female,Egypt,Upper Egypt,Sohag,Marketplace,Search Engine,Sports,Dumbbell Set,Dumbbell Set Model Lite,Wallet,Standard,No Campaign,1,5037.01,0.0668,4700.74,2627.35,2073.39,0.4411,6,5,No,4
ORD-000019,2024-03-11,2024,3,March,Q1,CUST-01625,Family,25-34,Male,Egypt,Canal & Sinai,Suez,Physical Store,Paid Ads,Beauty,Perfume,Perfume Model A,Debit Card,Store Pickup,No Campaign,2,3749.85,0.0074,7444.1,4128.7,3315.4,0.4454,1,4.3,No,0
ORD-000020,2025-08-29,2025,8,August,Q3,CUST-05046,Family,35-44,Male,Egypt,Delta,Zagazig,Physical Store,Search Engine,Beauty,Perfume,Perfume Model Max,Cash,Store Pickup,No Campaign,2,3095.38,0.0717,5746.6,2848.08,2898.52,0.5044,1,4.6,No,0
ORD-000021,2025-05-10,2025,5,May,Q2,CUST-04003,Premium,35-44,Male,Egypt,Delta,Zagazig,Physical Store,Direct,Home & Kitchen,Microwave,Microwave Model Max,Bank Transfer,Store Pickup,No Campaign,1,12704.0,0,12704.0,8359.33,4344.67,0.342,2,4.1,No,0
ORD-000022,2024-09-03,2024,9,September,Q3,CUST-04298,Young Professional,25-34,Male,Egypt,Alexandria Coast,Alexandria,Online Store,Social Media,Beauty,Makeup Kit,Makeup Kit Model Max,Cash,Standard,No Campaign,1,2141.49,0,2141.49,1003.86,1137.63,0.5312,7,4.3,No,3
ORD-000023,2024-10-16,2024,10,October,Q4,CUST-01243,Student,18-24,Male,Egypt,Greater Cairo,New Cairo,Online Store,Direct,Books & Stationery,Programming Book,Programming Book Model B,Cash,Standard,No Campaign,3,1412.61,0,4237.83,2245.19,1992.64,0.4702,5,3.5,No,1
ORD-000024,2025-07-30,2025,7,July,Q3,CUST-00268,Premium,45-54,Male,Egypt,Greater Cairo,6th of October,Mobile App,Direct,Electronics,Laptop,Laptop Model B,Debit Card,Standard,No Campaign,1,47725.93,0.0163,46946.75,37005.1,9941.65,0.2118,4,4.9,No,2
